title,gross,net,url
Detalhes da remuneração GCM 29 referente a 3/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_29_detalhes.html
Detalhes da remuneração GCM 24 referente a 3/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_24_detalhes.html
Detalhes da remuneração GCM 23 referente a 3/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_23_detalhes.html
Detalhes da remuneração GCM 22 referente a 3/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_22_detalhes.html
Detalhes da remuneração GCM 21 referente a 3/2020,"R$ 2.732,51","R$ 2.670,37",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_21_detalhes.html
Detalhes da remuneração GCM 20 referente a 3/2020,"R$ 2.927,69","R$ 2.843,34",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_20_detalhes.html
Detalhes da remuneração GCM 19 referente a 3/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_19_detalhes.html
Detalhes da remuneração GCM 18 referente a 3/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_18_detalhes.html
Detalhes da remuneração GCM 17 referente a 3/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_17_detalhes.html
Detalhes da remuneração GCM 16 referente a 3/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_16_detalhes.html
Detalhes da remuneração GCM 15 referente a 3/2020,"R$ 2.927,69","R$ 2.893,57",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_15_detalhes.html
Detalhes da remuneração GCM 13 referente a 3/2020,"R$ 4.035,10","R$ 3.869,95",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_13_detalhes.html
Detalhes da remuneração GCM 14 referente a 3/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_14_detalhes.html
Detalhes da remuneração GCM 11 referente a 3/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_11_detalhes.html
Detalhes da remuneração GCM 12 referente a 3/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_12_detalhes.html
